date,city,market,product,price,unit,source
2026-09-12,Lagos,Mile 12,tomato round,64585,standard,nairametrics_cached
2026-09-12,Lagos,Oyingbo,tomato round,63331,standard,nairametrics_cached
2026-09-12,Lagos,Mushin,tomato round,62950,standard,nairametrics_cached
2026-09-12,Lagos,Daleko,tomato round,66106,standard,nairametrics_cached
2026-09-12,Abuja,Wuse,tomato round,69744,standard,nairametrics_cached
2026-09-12,Abuja,Garki,tomato round,69975,standard,nairametrics_cached
2026-09-12,Abuja,Utako,tomato round,70453,standard,nairametrics_cached
2026-09-12,Port Harcourt,Mile 3,tomato round,67679,standard,nairametrics_cached
2026-09-12,Port Harcourt,Creek Road,tomato round,66581,standard,nairametrics_cached
2026-09-12,Port Harcourt,Oil Mill,tomato round,66320,standard,nairametrics_cached
2026-09-12,Lagos,Mile 12,tomato oval,39404,standard,nairametrics_cached
2026-09-12,Lagos,Oyingbo,tomato oval,39115,standard,nairametrics_cached
2026-09-12,Lagos,Mushin,tomato oval,39338,standard,nairametrics_cached
2026-09-12,Lagos,Daleko,tomato oval,40727,standard,nairametrics_cached
2026-09-12,Abuja,Wuse,tomato oval,45765,standard,nairametrics_cached
2026-09-12,Abuja,Garki,tomato oval,44249,standard,nairametrics_cached
2026-09-12,Abuja,Utako,tomato oval,43945,standard,nairametrics_cached
2026-09-12,Port Harcourt,Mile 3,tomato oval,41382,standard,nairametrics_cached
2026-09-12,Port Harcourt,Creek Road,tomato oval,40772,standard,nairametrics_cached
2026-09-12,Port Harcourt,Oil Mill,tomato oval,42764,standard,nairametrics_cached
2026-09-12,Lagos,Mile 12,garri white,25699,standard,nairametrics_cached
2026-09-12,Lagos,Oyingbo,garri white,25633,standard,nairametrics_cached
2026-09-12,Lagos,Mushin,garri white,24818,standard,nairametrics_cached
2026-09-12,Lagos,Daleko,garri white,25784,standard,nairametrics_cached
2026-09-12,Abuja,Wuse,garri white,28162,standard,nairametrics_cached
2026-09-12,Abuja,Garki,garri white,28446,standard,nairametrics_cached
2026-09-12,Abuja,Utako,garri white,27327,standard,nairametrics_cached
2026-09-12,Port Harcourt,Mile 3,garri white,26203,standard,nairametrics_cached
2026-09-12,Port Harcourt,Creek Road,garri white,26223,standard,nairametrics_cached
